"","date_id","T_name","T_irret","T_close","T_settle","TF_name","TF_irret","TF_close","TF_settle","FutYHret","quan90","quan80","quan70","quan60","quan50","quan40","quan30","quan20","quan10","upDown90","upDown80","upDown70","upDown60","position_T90","position_TF90","position_T80","position_TF80","position_T70","position_TF70","position_T60","position_TF60","position_T","position_TF","lag_position_T","lag_position_TF","lag_position_T_ZS","lag_position_TF_ZS","ZHJE","KCSS","XZZJ","Drawdowns","MAXJZ","MINJZ","ismax","XNJZ","FCSY","return"
"1",2016-01-14,"T1603.CFE",0.0293,100.445,100.435,"TF1603.CFE",0.027666667,100.92,100.905,16.33,21,18.33,17.198,16.33,16,15.67,15.33,15,13.934,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,-2,NA,NA,0,0,NA,NA,1e+06,0,0,0,0,0,0,1e+06,0,0
"2",2016-01-15,"T1603.CFE",0.029,100.645,100.615,"TF1603.CFE",0.027333333,101.05,101.035,16.67,21,18.33,17.099,16.33,16,15.67,15.33,15,13.967,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,-2,NA,NA,0,0,NA,NA,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"3",2016-01-18,"T1603.CFE",0.0296,100.285,100.235,"TF1603.CFE",0.027966667,100.84,100.795,16.33,21,18.33,17,16.33,16,15.67,15.33,15,13.967,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,-2,NA,NA,0,0,NA,NA,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"4",2016-01-19,"T1603.CFE",0.029733333,100.13,100.155,"TF1603.CFE",0.028066667,100.72,100.745,16.67,21,18.33,17,16.33,16.165,15.67,15.33,15,13.967,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,-2,NA,NA,0,0,NA,NA,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"5",2016-01-20,"T1603.CFE",0.0297,100.27,100.185,"TF1603.CFE",0.028,100.82,100.765,17,21,18.33,17,16.33,16.165,15.67,15.33,15,13.967,NA,NA,1,1,NA,NA,NA,NA,1,-2,1,-2,NA,NA,0,0,NA,NA,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"6",2016-01-21,"T1603.CFE",0.0294,100.365,100.385,"TF1603.CFE",0.027733333,100.86,100.875,16.67,21,18.066,17,16.33,16.165,15.67,15.33,15,13.967,NA,NA,1,1,NA,NA,NA,NA,1,-2,1,-2,NA,NA,0,0,NA,NA,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"7",2016-01-22,"T1603.CFE",0.0294,100.42,100.37,"TF1603.CFE",0.0278,100.875,100.845,16,21,18,16.769,16.33,16.165,15.67,15.33,15,13.967,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"8",2016-01-25,"T1603.CFE",0.030166667,99.835,99.87,"TF1603.CFE",0.028666667,100.51,100.52,15,20.703,17.736,16.67,16.33,16,15.67,15.33,15,13.967,0,-1,-1,-1,0,0,-1,2,-1,2,-1,2,0,0,0,0,0,0,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"9",2016-01-26,"T1603.CFE",0.0301,99.91,99.93,"TF1603.CFE",0.028566667,100.56,100.56,15.33,20.67,17.67,16.67,16.33,16,15.67,15.33,15,13.967,0,-1,-1,-1,0,0,-1,2,-1,2,-1,2,0,0,0,0,0,0,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"10",2016-01-27,"T1603.CFE",0.0304,99.77,99.695,"TF1603.CFE",0.028833333,100.49,100.45,15.67,20.67,17.398,16.67,16.33,16,15.67,15.33,15,13.967,0,-1,-1,-1,0,0,-1,2,-1,2,-1,2,0,0,0,0,0,0,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"11",2016-01-28,"T1603.CFE",0.030033333,99.965,99.955,"TF1603.CFE",0.0285,100.58,100.57,15.33,20.364,17.33,16.67,16.33,16,15.67,15.33,15,13.967,0,-1,-1,-1,0,0,-1,2,-1,2,-1,2,0,0,0,0,0,0,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"12",2016-01-29,"T1603.CFE",0.029433333,100.365,100.34,"TF1603.CFE",0.027966667,100.79,100.78,14.67,20.033,17.33,16.67,16.33,16,15.67,15.33,15,13.967,0,-1,-1,-1,0,0,-1,2,-1,2,-1,2,0,0,0,0,0,0,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"13",2016-02-01,"T1603.CFE",0.0295,100.34,100.31,"TF1603.CFE",0.028066667,100.76,100.75,14.33,19.397,17.066,16.67,16.33,16,15.67,15.33,15,13.967,0,-1,-1,-1,0,0,-1,2,-1,2,-1,2,0,0,0,0,0,0,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"14",2016-02-02,"T1603.CFE",0.0301,99.92,99.94,"TF1603.CFE",0.0286,100.54,100.545,15,19.033,17,16.67,16.33,15.835,15.534,15.231,15,13.967,0,-1,-1,-1,0,0,-1,2,-1,2,-1,2,0,0,0,0,0,0,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"15",2016-02-03,"T1603.CFE",0.0299,100.07,100.035,"TF1603.CFE",0.028466667,100.62,100.6,14.33,18.43,17,16.67,16.33,15.67,15.33,15,15,13.967,0,-1,-1,-1,0,0,-1,2,-1,2,-1,2,0,0,0,0,0,0,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"16",2016-02-04,"T1603.CFE",0.0296,100.25,100.24,"TF1603.CFE",0.028133333,100.735,100.72,14.67,18.43,17,16.67,16.33,15.67,15.33,15,14.934,13.967,0,-1,-1,-1,0,0,-1,2,-1,2,-1,2,0,0,0,0,0,0,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"17",2016-02-05,"T1606.CFE",0.030333333,99.66,99.705,"TF1606.CFE",0.0289,100.405,100.425,14.33,18.43,17,16.67,16.33,15.67,15.33,15,14.67,13.967,0,-1,-1,-1,0,0,-1,2,-1,2,-1,2,0,0,0,0,0,0,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"18",2016-02-15,"T1606.CFE",0.0298,100.185,100.12,"TF1606.CFE",0.028266667,100.69,100.66,15.33,18.43,17,16.432,16.33,15.67,15.33,15,14.67,13.967,0,-1,-1,-1,0,0,-1,2,-1,2,-1,2,0,0,0,0,0,0,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
"19",2016-02-16,"T1606.CFE",0.0302,99.77,99.82,"TF1606.CFE",0.028733333,100.47,100.485,14.67,18.43,17,16.33,16.132,15.67,15.33,15,14.67,13.967,0,-1,-1,-1,0,0,-1,2,-1,2,-1,2,0,0,0,0,0,0,1e+06,0,1,0,1e+06,1e+06,0,1e+06,0,0
